Country name,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Finland,7808.700085,1285.189509,1499.525905,961.271405,662.31674,159.670442,477.857262,2762.835026
Denmark,7645.599842,1326.948524,1503.449202,979.332566,665.039897,242.793396,495.260328,2432.740688
Switzerland,7559.899807,1390.77425,1472.403407,1040.533185,628.95447,269.055754,407.945901,2350.26741
Iceland,7504.499912,1326.501608,1547.567487,1000.843406,661.980748,362.330228,144.540772,2460.688114
Norway,7487.999916,1424.20733,1495.172501,1008.071899,670.200884,287.985086,434.100568,2168.266296
Netherlands,7448.900223,1338.946342,1463.645935,975.675344,613.62648,336.317569,368.569762,2352.117062
Sweden,7353.499889,1322.235227,1433.347702,986.470461,650.297701,272.827893,442.066371,2246.299267
New Zealand,7299.600124,1242.317915,1487.21838,1008.138299,646.789908,325.726211,461.268276,2128.108025
Austria,7294.199944,1317.285538,1437.444925,1000.933528,603.368878,255.509764,281.256139,2398.446083
Luxembourg,7237.500191,1536.676049,1387.528419,986.442685,610.137045,195.95392,367.041469,2153.700352
Canada,7232.10001,1301.647663,1435.391903,1022.501945,644.028127,281.52892,351.701856,2195.269108
Australia,7222.799778,1310.396433,1477.146268,1022.607684,621.877193,324.973613,335.996419,2129.804134
United Kingdom,7164.500237,1273.061037,1457.844973,975.70008,525.168657,373.433441,322.601646,2236.721992
Israel,7128.600121,1216.463685,1403.256774,1008.052945,420.699477,266.861796,99.89845,2713.358402
Costa Rica,7121.399879,981.107712,1374.853611,939.635336,645.017743,131.266311,96.362092,2953.135014
Ireland,7093.699932,1446.886778,1470.596433,975.670695,587.779939,295.426995,373.433262,1943.878174
Germany,7075.799942,1314.184546,1368.543744,972.114801,564.274132,252.037704,309.362292,2295.249462
United States,6939.599991,1373.98684,1404.786706,831.618011,534.608245,298.143059,152.284741,2344.124794
Czech Republic,6910.900116,1212.322354,1405.28667,894.56445,505.744576,46.325929,49.803223,2796.808243
